"","NOME","PARTIDO","UF"
"1","ABEL MESQUITA JR.","DEM","RR"
"2","ADAIL CARNEIRO","PP","CE"
"3","ADALBERTO CAVALCANTI","PTB","PE"
"4","ADELMO CARNEIRO LEAO","PT","MG"
"5","ADELSON BARRETO","PR","SE"
"6","ADEMIR CAMILO","PTN","MG"
"7","ADILTON SACHETTI","PSB","MT"
"8","AELTON FREITAS","PR","MG"
"9","AFONSO FLORENCE","PT","BA"
"10","AFONSO HAMM","PP","RS"
"11","AFONSO MOTTA","PDT","RS"
"12","AGUINALDO RIBEIRO","PP","PB"
"13","ALAN RICK","PRB","AC"
"14","ALBERTO FILHO","PMDB","MA"
"15","ALBERTO FRAGA","DEM","DF"
"16","ALCEU MOREIRA","PMDB","RS"
"17","ALESSANDRO MOLON","REDE","RJ"
"18","ALEX CANZIANI","PTB","PR"
"19","ALEX MANENTE","PPS","SP"
"20","ALEXANDRE BALDY","PTN","GO"
"21","ALEXANDRE LEITE","DEM","SP"
"22","ALEXANDRE SERFIOTIS","PMDB","RJ"
"23","ALEXANDRE VALLE","PR","RJ"
"24","ALFREDO KAEFER","PSL","PR"
"25","ALFREDO NASCIMENTO","PR","AM"
"26","ALICE PORTUGAL","PCdoB","BA"
"27","ALIEL MACHADO","REDE","PR"
"28","ALTINEU CORTES","PMDB","RJ"
"29","ALUISIO MENDES","PTN","MA"
"30","ANA PERUGINI","PT","SP"
"31","ANDERSON FERREIRA","PR","PE"
"32","ANDRE ABDON","PP","AP"
"33","ANDRE DE PAULA","PSD","PE"
"34","ANDRE FIGUEIREDO","PDT","CE"
"35","ANDRE FUFUCA","PP","MA"
"36","ANDRE MOURA","PSC","SE"
"37","ANDRES SANCHEZ","PT","SP"
"38","ANGELA ALBINO","PCdoB","SC"
"39","ANGELIM","PT","AC"
"40","ANIBAL GOMES","PMDB","CE"
"41","ANTONIO BRITO","PSD","BA"
"42","ANTONIO BULHOES","PRB","SP"
"43","ANTONIO CARLOS MENDES THAME","PV","SP"
"44","ANTONIO IMBASSAHY","PSDB","BA"
"45","ANTONIO JACOME","PTN","RN"
"46","ARIOSTO HOLANDA","PDT","CE"
"47","ARLINDO CHINAGLIA","PT","SP"
"48","ARNALDO FARIA DE SA","PTB","SP"
"49","ARNALDO JARDIM","PPS","SP"
"50","ARNALDO JORDY","PPS","PA"
"51","ARNON BEZERRA","PTB","CE"
"52","AROLDE DE OLIVEIRA","PSC","RJ"
"53","ARTHUR LIRA","PP","AL"
"54","ARTHUR OLIVEIRA MAIA","PPS","BA"
"55","ARTHUR VIRGILIO BISNETO","PSDB","AM"
"56","ASSIS CARVALHO","PT","PI"
"57","ASSIS DO COUTO","PDT","PR"
"58","ATILA A. NUNES","PMDB","RJ"
"59","ATILA LINS","PSD","AM"
"60","ATILA LIRA","PSB","PI"
"61","AUGUSTO CARVALHO","SD","DF"
"62","AUGUSTO COUTINHO","SD","PE"
"63","AUREO","SD","RJ"
"64","BACELAR","PTN","BA"
"65","BALEIA ROSSI","PMDB","SP"
"66","BEBETO","PSB","BA"
"67","BENEDITA DA SILVA","PT","RJ"
"68","BENITO GAMA","PTB","BA"
"69","BENJAMIN MARANHAO","SD","PB"
"70","BETINHO GOMES","PSDB","PE"
"71","BETO FARO","PT","PA"
"72","BETO MANSUR","PRB","SP"
"73","BETO ROSADO","PP","RN"
"74","BETO SALAME","PP","PA"
"75","BILAC PINTO","PR","MG"
"76","BOHN GASS","PT","RS"
"77","BONIFACIO DE ANDRADA","PSDB","MG"
"78","BRUNA FURLAN","PSDB","SP"
"79","BRUNNY","PR","MG"
"80","BRUNO ARAUJO","PSDB","PE"
"81","BRUNO COVAS","PSDB","SP"
"82","CABO DACIOLO","PTdoB","RJ"
"83","CABO SABINO","PR","CE"
"84","CABUÇU BORGES","PMDB","AP"
"85","CACA LEAO","PP","BA"
"86","CAETANO","PT","BA"
"87","CAIO NARCIO","PSDB","MG"
"88","CAJAR NARDES","PR","RS"
"89","CAPITAO AUGUSTO","PR","SP"
"90","CAPITAO FABIO ABREU","PTB","PI"
"91","CARLOS ANDRADE","PHS","RR"
"92","CARLOS BEZERRA","PMDB","MT"
"93","CARLOS EDUARDO CADOCA","PDT","PE"
"94","CARLOS GOMES","PRB","RS"
"95","CARLOS HENRIQUE GAGUIM","PTN","TO"
"96","CARLOS MANATO","SD","ES"
"97","CARLOS MARUN","PMDB","MS"
"98","CARLOS MELLES","DEM","MG"
"99","CARLOS SAMPAIO","PSDB","SP"
"100","CARLOS ZARATTINI","PT","SP"
"101","CARMEN ZANOTTO","PPS","SC"
"102","CELIO SILVEIRA","PSDB","GO"
"103","CELSO JACOB","PMDB","RJ"
"104","CELSO MALDANER","PMDB","SC"
"105","CELSO PANSERA","PMDB","RJ"
"106","CELSO RUSSOMANNO","PRB","SP"
"107","CESAR HALUM","PRB","TO"
"108","CESAR MESSIAS","PSB","AC"
"109","CESAR SOUZA","PSD","SC"
"110","CHICO ALENCAR","PSOL","RJ"
"111","CHICO D'ANGELO","PT","RJ"
"112","CHICO LOPES","PCdoB","CE"
"113","CHRISTIANE DE SOUZA YARED","PR","PR"
"114","CICERO ALMEIDA","PMDB","AL"
"115","CLARISSA GAROTINHO","PR","RJ"
"116","CLAUDIO CAJADO","DEM","BA"
"117","CLEBER VERDE","PRB","MA"
"118","CONCEIÇAO SAMPAIO","PP","AM"
"119","COVATTI FILHO","PP","RS"
"120","CREUZA PEREIRA","PSB","PE"
"121","CRISTIANE BRASIL","PTB","RJ"
"122","DAGOBERTO","PDT","MS"
"123","DAMIAO FELICIANO","PDT","PB"
"124","DAMINA PEREIRA","PSL","MG"
"125","DANIEL ALMEIDA","PCdoB","BA"
"126","DANIEL COELHO","PSDB","PE"
"127","DANIEL VILELA","PMDB","GO"
"128","DANILO CABRAL","PSB","PE"
"129","DANILO FORTE","PSB","CE"
"130","DANRLEI DE DEUS HINTERHOLZ","PSD","RS"
"131","DARCISIO PERONDI","PMDB","RS"
"132","DAVI ALVES SILVA JUNIOR","PR","MA"
"133","DAVIDSON MAGALHAES","PCdoB","BA"
"134","DECIO LIMA","PT","SC"
"135","DELEGADO EDER MAURO","PSD","PA"
"136","DELEGADO EDSON MOREIRA","PR","MG"
"137","DELEGADO WALDIR","PR","GO"
"138","DELEY","PTB","RJ"
"139","DIEGO ANDRADE","PSD","MG"
"140","DIEGO GARCIA","PHS","PR"
"141","DILCEU SPERAFICO","PP","PR"
"142","DIMAS FABIANO","PP","MG"
"143","DOMINGOS NETO","PSD","CE"
"144","DOMINGOS SAVIO","PSDB","MG"
"145","DR. JOAO","PR","RJ"
"146","DR. JORGE SILVA","PHS","ES"
"147","DR. SINVAL MALHEIROS","PTN","SP"
"148","DUARTE NOGUEIRA","PSDB","SP"
"149","DULCE MIRANDA","PMDB","TO"
"150","EDINHO ARAUJO","PMDB","SP"
"151","EDINHO BEZ","PMDB","SC"
"152","EDIO LOPES","PR","RR"
"153","EDMAR ARRUDA","PSD","PR"
"154","EDMILSON RODRIGUES","PSOL","PA"
"155","EDUARDO BARBOSA","PSDB","MG"
"156","EDUARDO BOLSONARO","PSC","SP"
"157","EDUARDO CUNHA","PMDB","RJ"
"158","EDUARDO CURY","PSDB","SP"
"159","EDUARDO DA FONTE","PP","PE"
"160","EFRAIM FILHO","DEM","PB"
"161","ELCIONE BARBALHO","PMDB","PA"
"162","ELI CORREA FILHO","DEM","SP"
"163","ELIZEU DIONIZIO","PSDB","MS"
"164","ELIZIANE GAMA","PPS","MA"
"165","ELMAR NASCIMENTO","DEM","BA"
"166","ENIO VERRI","PT","PR"
"167","ERIKA KOKAY","PT","DF"
"168","ERIVELTON SANTANA","PEN","BA"
"169","EROS BIONDINI","PROS","MG"
"170","ESPERIDIAO AMIN","PP","SC"
"171","EVAIR VIEIRA DE MELO","PV","ES"
"172","EVANDRO GUSSI","PV","SP"
"173","EVANDRO ROMAN","PSD","PR"
"174","EXPEDITO NETTO","PSD","RO"
"175","EZEQUIEL FONSECA","PP","MT"
"176","EZEQUIEL TEIXEIRA","PTN","RJ"
"177","FABIANO HORTA","PT","RJ"
"178","FABIO FARIA","PSD","RN"
"179","FABIO GARCIA","PSB","MT"
"180","FABIO MITIDIERI","PSD","SE"
"181","FABIO RAMALHO","PMDB","MG"
"182","FABIO REIS","PMDB","SE"
"183","FABIO SOUSA","PSDB","GO"
"184","FATIMA BEZERRA","PT","RN"
"185","FAUSTO PINATO","PP","SP"
"186","FELIPE BORNIER","PROS","RJ"
